Category,Primary_Hashtags,Style_Hashtags,Trending_Hashtags,Brand_Examples,Notes
Tops,"#top #shirt #blouse #tshirt #sweater","#workwear #casual #chic #oversized #fitted","#y2k #cottagecore #darkacademia #coquette #streetwear","#zara #hm #cos #arket #otherstories","Use 2 primary + 2 style + 1 trending"
Dresses,"#dress #midi #mini #maxi #sundress","#formal #casual #party #romantic #bohemian","#y2k #vintage #cottagecore #minimalist #maximalist","#reformation #asos #urbanoutfitters #freepeople","Evening dresses trend higher in fall/winter"
Bottoms,"#jeans #trousers #skirt #shorts #pants","#highwaisted #lowrise #wide #skinny #straight","#y2k #90s #flare #cargo #pleated","#levis #zara #weekday #monki #ganni","Low-rise and wide-leg trending in 2025"
Outerwear,"#jacket #coat #blazer #cardigan #hoodie","#oversized #cropped #tailored #cozy #structured","#trenchcoat #bomber #denim #leather #vintage","#zara #cos #arket #nike #adidas","Layer pieces sell well in fall/winter"
Shoes,"#shoes #boots #sneakers #heels #flats","#platform #chunky #minimal #statement #comfort","#90s #y2k #combat #cowboy #ballet","#drmartens #nike #adidas #zara #mango","Include size prominently in title"
Accessories,"#bag #jewelry #scarf #hat #belt","#statement #delicate #vintage #gold #silver","#y2k #preppy #boho #minimalist #maximalist","#coach #vintage #handmade #designer #thrifted","Small accessories have high profit margins"
Vintage,"#vintage #retro #antique #authentic #rare","#90s #80s #70s #60s #deadstock","#y2k #grunge #preppy #bohemian #punk","#authentic #original #rare #collector #genuine","Age and era are key selling points"
Designer,"#designer #luxury #authentic #preloved #genuine","#highend #couture #premium #investment #rare","#chanel #gucci #prada #dior #ysl","Include authenticity certificates/receipts","Price research essential for designer"
Sportswear,"#sportswear #athletic #activewear #gym #workout","#vintage #retro #oversized #cropped #performance","#nike #adidas #champion #fila #kappa","Team jerseys and vintage athletic very popular","Check for authenticity on premium brands"
Y2K,"#y2k #2000s #millennium #nostalgic #throwback","#lowrise #butterfly #metallic #shiny #colorful","#paris #hilton #britney #cyber #rave","#juicy #von #dutch #ed #hardy","Extremely popular with Gen Z audience"
